seq,A,G,d,B,P,M,P_enc,G_enc,d_enc,M_enc,P_enc_seq,G_enc_seq,d_enc_seq,M_enc_seq
Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  555  469,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,6,3,1,5,6,9,1,15
Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  587  437,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,6,3,1,6,6,9,1,16
([])^2Gxpi2:0@(0)  575  449,,[],2,Gxpi2:0,,Gxpi2:0,-1,1,2,2,-1,7,2,12
([])^2Gypi2:0@(0)  542  482,,[],2,Gypi2:0,,Gypi2:0,-1,1,2,3,-1,7,2,13
([])^2Gxpi2:0Gxpi2:0@(0)  254  770,,[],2,Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0,-1,1,2,4,-1,7,2,14
Gypi2:0([])^2Gypi2:0@(0)  300  724,Gypi2:0,[],2,Gypi2:0,Gypi2:0,Gypi2:0,3,1,2,3,3,7,2,13
Gxpi2:0Gxpi2:0Gxpi2:0([])^2@(0)  567  457,Gxpi2:0Gxpi2:0Gxpi2:0,[],2,,Gxpi2:0Gxpi2:0Gxpi2:0,,5,1,2,-1,5,7,2,-1
Gxpi2:0Gxpi2:0Gxpi2:0([])^2Gxpi2:0@(0)  835  189,Gxpi2:0Gxpi2:0Gxpi2:0,[],2,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,5,1,2,2,5,7,2,12
Gxpi2:0Gxpi2:0Gxpi2:0([])^2Gypi2:0@(0)  541  483,Gxpi2:0Gxpi2:0Gxpi2:0,[],2,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,1,2,3,5,7,2,13
Gypi2:0Gypi2:0Gypi2:0([])^2Gxpi2:0@(0)  536  488,Gypi2:0Gypi2:0Gypi2:0,[],2,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,6,1,2,2,6,7,2,12
Gypi2:0Gypi2:0Gypi2:0([])^2Gxpi2:0Gxpi2:0@(0)  598  426,Gypi2:0Gypi2:0Gypi2:0,[],2,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,6,1,2,4,6,7,2,14
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0)^2Gypi2:0Gypi2:0Gypi2:0@(0)  252  772,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,2,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,6,2,2,6,6,8,2,16
Gxpi2:0(Gypi2:0)^2Gxpi2:0Gxpi2:0Gxpi2:0@(0)  855  169,Gxpi2:0,Gypi2:0,2,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,3,2,5,2,9,2,15
Gypi2:0(Gxpi2:0Gypi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  571  453,Gypi2:0,Gxpi2:0Gypi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,3,4,1,6,3,10,1,16
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gypi2:0)Gypi2:0@(0)  289  735,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gypi2:0,1,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,4,1,3,5,10,1,13
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gypi2:0)Gxpi2:0Gxpi2:0@(0)  550  474,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gypi2:0,1,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,5,4,1,4,5,10,1,14
([])^4Gxpi2:0@(0)  594  430,,[],4,Gxpi2:0,,Gxpi2:0,-1,1,4,2,-1,7,4,12
([])^4Gypi2:0@(0)  550  474,,[],4,Gypi2:0,,Gypi2:0,-1,1,4,3,-1,7,4,13
([])^4Gxpi2:0Gxpi2:0@(0)  261  763,,[],4,Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0,-1,1,4,4,-1,7,4,14
Gypi2:0([])^4Gypi2:0@(0)  280  744,Gypi2:0,[],4,Gypi2:0,Gypi2:0,Gypi2:0,3,1,4,3,3,7,4,13
Gxpi2:0Gxpi2:0Gxpi2:0([])^4@(0)  531  493,Gxpi2:0Gxpi2:0Gxpi2:0,[],4,,Gxpi2:0Gxpi2:0Gxpi2:0,,5,1,4,-1,5,7,4,-1
