circ_idx,seq,A,G,d,B,P,M,P_enc,G_enc,d_enc,M_enc,P_native_gate_count,G_native_gate_count,d_native_gate_count,M_native_gate_count,full_native_gate_count,remaining_native_gate_count,remaining_wait_num_4-pihalf,remaining_wait_num_pihalf,full_sequence_length
62,Gypi2:0(Gxpi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  561  463,Gypi2:0,Gxpi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,6,5,1,9,1,1,1,3,5,32768,8192,0,8195
63,Gypi2:0(Gxpi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  844  180,Gypi2:0,Gxpi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,6,5,1,10,1,1,1,3,5,32768,8192,0,8195
64,Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0)Gypi2:0@(0)  553  471,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,1,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,9,5,1,6,3,1,1,1,5,32768,8192,0,8195
65,Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  547  477,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,9,5,1,9,3,1,1,3,7,32766,8191,2,8196
66,Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  530  494,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,9,5,1,10,3,1,1,3,7,32766,8191,2,8196
67,Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0)Gypi2:0@(0)  871  153,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,1,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,10,5,1,6,3,1,1,1,5,32768,8192,0,8195
68,Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  571  453,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,10,5,1,9,3,1,1,3,7,32766,8191,2,8196
69,Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  251  773,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,10,5,1,10,3,1,1,3,7,32766,8191,2,8196
70,Gxpi2:0(Gypi2:0)Gxpi2:0@(0)  269  755,Gxpi2:0,Gypi2:0,1,Gxpi2:0,Gxpi2:0,Gxpi2:0,5,6,1,5,1,1,1,1,3,32770,8192,2,8197
71,Gxpi2:0(Gypi2:0)Gypi2:0@(0)  576  448,Gxpi2:0,Gypi2:0,1,Gypi2:0,Gxpi2:0,Gypi2:0,5,6,1,6,1,1,1,1,3,32770,8192,2,8197
